acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,song_title,artist
0.00869,0.503,0.687,0.0131,0.131,-9.427,0.0314,143.902,0.619,Trying Your Luck,The Strokes
0.102,0.747,0.572,0.267,0.331,-9.046,0.027,119.706,0.575,Tried And True,Ween
0.448,0.49,0.648,0.888,0.0923,-5.931,0.0335,117.042,0.429,Ones Who Love You,Alvvays
0.032,0.445,0.708,0.0908,0.171,-6.268,0.0293,141.965,0.414,Myth,Beach House
0.467,0.356,0.67,0.000106,0.288,-5.825,0.0324,135.032,0.117,Silver Soul,Beach House
0.00869,0.503,0.687,0.0131,0.131,-9.427,0.0314,143.902,0.619,Trying Your Luck,The Strokes
0.102,0.747,0.572,0.267,0.331,-9.046,0.027,119.706,0.575,Tried And True,Ween
0.448,0.49,0.648,0.888,0.0923,-5.931,0.0335,117.042,0.429,Ones Who Love You,Alvvays
0.229,0.508,0.792,0.124,0.145,-7.311,0.0297,147.067,0.601,Space Song,Beach House
0.364,0.49,0.466,0.888,0.0568,-7.685,0.0284,104.882,0.153,PPP,Beach House
0.283,0.516,0.26,0.834,0.21,-10.475,0.031,130.684,0.338,Gila,Beach House
0.229,0.508,0.792,0.124,0.145,-7.311,0.0297,147.067,0.601,Space Song,Beach House
0.127,0.227,0.799,0.129,0.111,-5.927,0.0329,87.241,0.346,We Looked Like Giants,Death Cab for Cutie
0.25,0.55,0.722,0.0129,0.11,-11.729,0.0283,103.886,0.716,Riders on the Storm,The Doors
0.283,0.516,0.26,0.834,0.21,-10.475,0.031,130.684,0.338,Gila,Beach House
0.032,0.445,0.708,0.0908,0.171,-6.268,0.0293,141.965,0.414,Myth,Beach House
0.0131,0.274,0.472,0.069,0.0802,-7.614,0.0263,148.996,0.14,Man of War,Radiohead
0.467,0.356,0.67,0.000106,0.288,-5.825,0.0324,135.032,0.117,Silver Soul,Beach House
0.448,0.49,0.648,0.888,0.0923,-5.931,0.0335,117.042,0.429,Ones Who Love You,Alvvays
0.032,0.445,0.708,0.0908,0.171,-6.268,0.0293,141.965,0.414,Myth,Beach House
0.00869,0.503,0.687,0.0131,0.131,-9.427,0.0314,143.902,0.619,Trying Your Luck,The Strokes
0.102,0.747,0.572,0.267,0.331,-9.046,0.027,119.706,0.575,Tried And True,Ween
0.863,0.356,0.302,0.546,0.634,-14.528,0.0346,72.623,0.126,Us and Them,Pink Floyd
0.364,0.49,0.466,0.888,0.0568,-7.685,0.0284,104.882,0.153,PPP,Beach House
0.00321,0.482,0.786,0.0000888,0.446,-5.735,0.032,126.755,0.793,Carry on Wayward Son,Kansas
0.511,0.518,0.656,0.156,0.0679,-7.438,0.0264,104.282,0.203,Reckoner,Radiohead
0.000545,0.197,0.798,0.414,0.187,-7.334,0.0656,175.068,0.525,Smokin',Boston
0.0207,0.598,0.713,0.000175,0.431,-3.625,0.0326,91.964,0.118,Gorgeous,Kanye West
0.00321,0.482,0.786,0.0000888,0.446,-5.735,0.032,126.755,0.793,Carry on Wayward Son,Kansas
0.00869,0.503,0.687,0.0131,0.131,-9.427,0.0314,143.902,0.619,Trying Your Luck,The Strokes
0.467,0.356,0.67,0.000106,0.288,-5.825,0.0324,135.032,0.117,Silver Soul,Beach House
0.448,0.49,0.648,0.888,0.0923,-5.931,0.0335,117.042,0.429,Ones Who Love You,Alvvays
0.0592,0.798,0.757,0.000459,0.0703,-6.974,0.0297,133.744,0.745,The Old Man Down The Road,John Fogerty
0.0233,0.37,0.515,0.205,0.0966,-9.487,0.0321,115.732,0.42,I Want You (She's So Heavy) - Remastered 2009,The Beatles
0.229,0.508,0.792,0.124,0.145,-7.311,0.0297,147.067,0.601,Space Song,Beach House
0.364,0.49,0.466,0.888,0.0568,-7.685,0.0284,104.882,0.153,PPP,Beach House
0.00187,0.434,0.977,0.166,0.347,-4.845,0.0786,128.223,0.0939,Stockholm Syndrome,Muse
0.102,0.747,0.572,0.267,0.331,-9.046,0.027,119.706,0.575,Tried And True,Ween
0.364,0.555,0.568,0.00167,0.116,-12.205,0.0341,98.507,0.583,Witchy Woman - 2013 Remaster,Eagles
0.25,0.55,0.722,0.0129,0.11,-11.729,0.0283,103.886,0.716,Riders on the Storm,The Doors
0.283,0.516,0.26,0.834,0.21,-10.475,0.031,130.684,0.338,Gila,Beach House
0.0592,0.798,0.757,0.000459,0.0703,-6.974,0.0297,133.744,0.745,The Old Man Down The Road,John Fogerty
0.0233,0.37,0.515,0.205,0.0966,-9.487,0.0321,115.732,0.42,I Want You (She's So Heavy) - Remastered 2009,The Beatles
0.127,0.227,0.799,0.129,0.111,-5.927,0.0329,87.241,0.346,We Looked Like Giants,Death Cab for Cutie
0.0011,0.766,0.809,0,0.168,-6.123,0.279,130.127,0.325,Black Skinhead,Kanye West
0.364,0.555,0.568,0.00167,0.116,-12.205,0.0341,98.507,0.583,Witchy Woman - 2013 Remaster,Eagles
0.0131,0.274,0.472,0.069,0.0802,-7.614,0.0263,148.996,0.14,Man of War,Radiohead
0.0173,0.754,0.571,0,0.3,-8.547,0.0421,122.463,0.82,Drive My Car - Remastered 2009,The Beatles
0.478,0.453,0.849,0.0000709,0.255,-3.46,0.317,175.571,0.828,Roses,Luke Christopher
0.863,0.356,0.302,0.546,0.634,-14.528,0.0346,72.623,0.126,Us and Them,Pink Floyd
0.511,0.518,0.656,0.156,0.0679,-7.438,0.0264,104.282,0.203,Reckoner,Radiohead
0.859,0.634,0.392,0.93,0.0817,-12.603,0.0396,152.074,0.424,Obvs,Jamie xx
0.0012,0.583,0.785,0.0127,0.124,-3.991,0.0337,91.977,0.355,Closer,Lemaitre
0.00187,0.434,0.977,0.166,0.347,-4.845,0.0786,128.223,0.0939,Stockholm Syndrome,Muse
0.24,0.52,0.807,0.00257,0.199,-6.281,0.409,178.012,0.628,Rigamortus,Kendrick Lamar
0.233,0.558,0.549,0,0.126,-4.992,0.167,106.737,0.186,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde
0.000282,0.908,0.621,0.0000539,0.0958,-6.638,0.102,150.011,0.421,HUMBLE.,Kendrick Lamar
0.498,0.736,0.795,0.00000121,0.254,-3.299,0.0545,104.066,0.511,Slide (feat. Frank Ocean & Migos),Calvin Harris
0.216,0.642,0.82,0.00000267,0.131,-4.548,0.0307,104.018,0.521,Alaska - Toby Green Remix,Maggie Rogers
0.0998,0.743,0.659,0.00028,0.0622,-6.755,0.0343,114.033,0.804,Cocoon,Milky Chance
0.119,0.551,0.594,0,0.535,-9.912,0.161,89.524,0.507,I Know There's Gonna Be (Good Times),Jamie xx
0.000545,0.197,0.798,0.414,0.187,-7.334,0.0656,175.068,0.525,Smokin',Boston
0.467,0.356,0.67,0.000106,0.288,-5.825,0.0324,135.032,0.117,Silver Soul,Beach House
0.229,0.508,0.792,0.124,0.145,-7.311,0.0297,147.067,0.601,Space Song,Beach House
0.032,0.445,0.708,0.0908,0.171,-6.268,0.0293,141.965,0.414,Myth,Beach House
0.102,0.747,0.572,0.267,0.331,-9.046,0.027,119.706,0.575,Tried And True,Ween
0.0233,0.37,0.515,0.205,0.0966,-9.487,0.0321,115.732,0.42,I Want You (She's So Heavy) - Remastered 2009,The Beatles
0.0592,0.798,0.757,0.000459,0.0703,-6.974,0.0297,133.744,0.745,The Old Man Down The Road,John Fogerty
0.863,0.356,0.302,0.546,0.634,-14.528,0.0346,72.623,0.126,Us and Them,Pink Floyd
0.283,0.516,0.26,0.834,0.21,-10.475,0.031,130.684,0.338,Gila,Beach House
0.00869,0.503,0.687,0.0131,0.131,-9.427,0.0314,143.902,0.619,Trying Your Luck,The Strokes
0.364,0.49,0.466,0.888,0.0568,-7.685,0.0284,104.882,0.153,PPP,Beach House
0.000282,0.908,0.621,0.0000539,0.0958,-6.638,0.102,150.011,0.421,HUMBLE.,Kendrick Lamar
0.127,0.227,0.799,0.129,0.111,-5.927,0.0329,87.241,0.346,We Looked Like Giants,Death Cab for Cutie
0.233,0.558,0.549,0,0.126,-4.992,0.167,106.737,0.186,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde
0.25,0.55,0.722,0.0129,0.11,-11.729,0.0283,103.886,0.716,Riders on the Storm,The Doors
0.448,0.49,0.648,0.888,0.0923,-5.931,0.0335,117.042,0.429,Ones Who Love You,Alvvays
0.511,0.518,0.656,0.156,0.0679,-7.438,0.0264,104.282,0.203,Reckoner,Radiohead
0.0131,0.274,0.472,0.069,0.0802,-7.614,0.0263,148.996,0.14,Man of War,Radiohead
0.00187,0.434,0.977,0.166,0.347,-4.845,0.0786,128.223,0.0939,Stockholm Syndrome,Muse
0.216,0.642,0.82,0.00000267,0.131,-4.548,0.0307,104.018,0.521,Alaska - Toby Green Remix,Maggie Rogers
0.0173,0.754,0.571,0,0.3,-8.547,0.0421,122.463,0.82,Drive My Car - Remastered 2009,The Beatles
0.00321,0.482,0.786,0.0000888,0.446,-5.735,0.032,126.755,0.793,Carry on Wayward Son,Kansas
0.364,0.555,0.568,0.00167,0.116,-12.205,0.0341,98.507,0.583,Witchy Woman - 2013 Remaster,Eagles
0.000545,0.197,0.798,0.414,0.187,-7.334,0.0656,175.068,0.525,Smokin',Boston
0.859,0.634,0.392,0.93,0.0817,-12.603,0.0396,152.074,0.424,Obvs,Jamie xx
0.119,0.551,0.594,0,0.535,-9.912,0.161,89.524,0.507,I Know There's Gonna Be (Good Times),Jamie xx
0.735,0.481,0.262,0.0114,0.832,-15.73,0.0414,122.883,0.375,Wish You Were Here,Pink Floyd
0.678,0.44,0.608,0.58,0.367,-7.278,0.0298,128.66,0.305,Allergies,Pond
0.883,0.414,0.161,0.000223,0.117,-22.32,0.0318,159.375,0.423,Landslide,Fleetwood Mac
0.0631,0.558,0.781,0.0177,0.55,-7.577,0.0611,101.84,0.514,True Blue (feat. Angel Olsen),Mark Ronson
0.00764,0.287,0.721,0,0.328,-5.81,0.0387,169.252,0.763,Cornerstone,Arctic Monkeys
0.000545,0.197,0.798,0.414,0.187,-7.334,0.0656,175.068,0.525,Smokin',Boston
